column,dtype,missing_n,missing_pct,n_unique,column_norm,source_column_norm,mapped_domain,mapped_source_file,mapped_source_column,domain,source_file,source_column,mapping_method
mcd180e___age_when_told_you_had_heart_attack,float64,7250,97.49,43,mcd180e_age_when_told_you_had_heart_attack,mcd180e_age_when_told_you_had_heart_attack,questionnaire,merged_questionnaire.csv,mcd180e___age_when_told_you_had_heart_attack,questionnaire,merged_questionnaire.csv,mcd180e___age_when_told_you_had_heart_attack,exact_header_match
diq060u___unit_of_measure_(month/year),float64,7229,97.2,2,diq060u_unit_of_measure_month_year,diq060u_unit_of_measure_month_year,questionnaire,merged_questionnaire.csv,diq060u___unit_of_measure_(month/year),questionnaire,merged_questionnaire.csv,diq060u___unit_of_measure_(month/year),exact_header_match
did060___how_long_taking_insulin,float64,7225,97.15,34,did060_how_long_taking_insulin,did060_how_long_taking_insulin,questionnaire,merged_questionnaire.csv,did060___how_long_taking_insulin,questionnaire,merged_questionnaire.csv,did060___how_long_taking_insulin,exact_header_match
mcd180f___age_when_told_you_had_a_stroke,float64,7218,97.06,50,mcd180f_age_when_told_you_had_a_stroke,mcd180f_age_when_told_you_had_a_stroke,questionnaire,merged_questionnaire.csv,mcd180f___age_when_told_you_had_a_stroke,questionnaire,merged_questionnaire.csv,mcd180f___age_when_told_you_had_a_stroke,exact_header_match
rhq570___used_estrogen/progestin_combo_pills,float64,7216,97.03,3,rhq570_used_estrogen_progestin_combo_pills,rhq570_used_estrogen_progestin_combo_pills,questionnaire,merged_questionnaire.csv,rhq570___used_estrogen/progestin_combo_pills,questionnaire,merged_questionnaire.csv,rhq570___used_estrogen/progestin_combo_pills,exact_header_match
rhq554___use_hormone_pills_w/estrogen_only,float64,7216,97.03,3,rhq554_use_hormone_pills_w_estrogen_only,rhq554_use_hormone_pills_w_estrogen_only,questionnaire,merged_questionnaire.csv,rhq554___use_hormone_pills_w/estrogen_only,questionnaire,merged_questionnaire.csv,rhq554___use_hormone_pills_w/estrogen_only,exact_header_match
rhq542a___hormone_pills_used,float64,7216,97.03,1,rhq542a_hormone_pills_used,rhq542a_hormone_pills_used,questionnaire,merged_questionnaire.csv,rhq542a___hormone_pills_used,questionnaire,merged_questionnaire.csv,rhq542a___hormone_pills_used,exact_header_match
rhq200___now_breastfeeding_a_child?,float64,7202,96.84,2,rhq200_now_breastfeeding_a_child,rhq200_now_breastfeeding_a_child,questionnaire,merged_questionnaire.csv,rhq200___now_breastfeeding_a_child?,questionnaire,merged_questionnaire.csv,rhq200___now_breastfeeding_a_child?,exact_header_match
whd080j___took_non_rx_suppl._to_lose_weight,float64,7201,96.83,1,whd080j_took_non_rx_suppl_to_lose_weight,whd080j_took_non_rx_suppl_to_lose_weight,questionnaire,merged_questionnaire.csv,whd080j___took_non_rx_suppl._to_lose_weight,questionnaire,merged_questionnaire.csv,whd080j___took_non_rx_suppl._to_lose_weight,exact_header_match
rhq197___how_many_months_ago_have_baby?,float64,7200,96.81,24,rhq197_how_many_months_ago_have_baby,rhq197_how_many_months_ago_have_baby,questionnaire,merged_questionnaire.csv,rhq197___how_many_months_ago_have_baby?,questionnaire,merged_questionnaire.csv,rhq197___how_many_months_ago_have_baby?,exact_header_match
medication_9,str,7199,96.8,101,medication_9,medication_9,questionnaire,merged_questionnaire.csv,medication_9,questionnaire,merged_questionnaire.csv,medication_9,exact_header_match
rhq332___age_when_both_ovaries_removed,float64,7193,96.72,41,rhq332_age_when_both_ovaries_removed,rhq332_age_when_both_ovaries_removed,questionnaire,merged_questionnaire.csv,rhq332___age_when_both_ovaries_removed,questionnaire,merged_questionnaire.csv,rhq332___age_when_both_ovaries_removed,exact_header_match
whd080n___followed_a_special_diet,float64,7162,96.3,1,whd080n_followed_a_special_diet,whd080n_followed_a_special_diet,questionnaire,merged_questionnaire.csv,whd080n___followed_a_special_diet,questionnaire,merged_questionnaire.csv,whd080n___followed_a_special_diet,exact_header_match
whd080g___used_a_liquid_diet_formula,float64,7158,96.25,1,whd080g_used_a_liquid_diet_formula,whd080g_used_a_liquid_diet_formula,questionnaire,merged_questionnaire.csv,whd080g___used_a_liquid_diet_formula,questionnaire,merged_questionnaire.csv,whd080g___used_a_liquid_diet_formula,exact_header_match
cdq006___how_soon_is_the_pain_relieved,float64,7153,96.18,3,cdq006_how_soon_is_the_pain_relieved,cdq006_how_soon_is_the_pain_relieved,questionnaire,merged_questionnaire.csv,cdq006___how_soon_is_the_pain_relieved,questionnaire,merged_questionnaire.csv,cdq006___how_soon_is_the_pain_relieved,exact_header_match
rxdrsc2___icd_10_cm_code_2,str,7127,95.83,85,rxdrsc2_icd_10_cm_code_2,rxdrsc2_icd_10_cm_code_2,questionnaire,merged_questionnaire.csv,rxdrsc2___icd_10_cm_code_2,questionnaire,merged_questionnaire.csv,rxdrsc2___icd_10_cm_code_2,exact_header_match
rxdrsd2___icd_10_cm_code_2_description,str,7127,95.83,85,rxdrsd2_icd_10_cm_code_2_description,rxdrsd2_icd_10_cm_code_2_description,questionnaire,merged_questionnaire.csv,rxdrsd2___icd_10_cm_code_2_description,questionnaire,merged_questionnaire.csv,rxdrsd2___icd_10_cm_code_2_description,exact_header_match
mcd180l___age_when_told_you_had_liver_condition,float64,7112,95.63,50,mcd180l_age_when_told_you_had_liver_condition,mcd180l_age_when_told_you_had_liver_condition,questionnaire,merged_questionnaire.csv,mcd180l___age_when_told_you_had_liver_condition,questionnaire,merged_questionnaire.csv,mcd180l___age_when_told_you_had_liver_condition,exact_header_match
mcq170l___still_have_liver_condition,float64,7112,95.63,3,mcq170l_still_have_liver_condition,mcq170l_still_have_liver_condition,questionnaire,merged_questionnaire.csv,mcq170l___still_have_liver_condition,questionnaire,merged_questionnaire.csv,mcq170l___still_have_liver_condition,exact_header_match
medication_8,str,7106,95.55,112,medication_8,medication_8,questionnaire,merged_questionnaire.csv,medication_8,questionnaire,merged_questionnaire.csv,medication_8,exact_header_match
cdq005___does_standing_relieve_pain/discomfort,float64,7093,95.37,3,cdq005_does_standing_relieve_pain_discomfort,cdq005_does_standing_relieve_pain_discomfort,questionnaire,merged_questionnaire.csv,cdq005___does_standing_relieve_pain/discomfort,questionnaire,merged_questionnaire.csv,cdq005___does_standing_relieve_pain/discomfort,exact_header_match
whd080f___ate_diet_foods_or_products,float64,7080,95.2,1,whd080f_ate_diet_foods_or_products,whd080f_ate_diet_foods_or_products,questionnaire,merged_questionnaire.csv,whd080f___ate_diet_foods_or_products,questionnaire,merged_questionnaire.csv,whd080f___ate_diet_foods_or_products,exact_header_match
cdq004___if_so_does_sp_continue_or_slow_down,float64,7052,94.82,2,cdq004_if_so_does_sp_continue_or_slow_down,cdq004_if_so_does_sp_continue_or_slow_down,questionnaire,merged_questionnaire.csv,cdq004___if_so_does_sp_continue_or_slow_down,questionnaire,merged_questionnaire.csv,cdq004___if_so_does_sp_continue_or_slow_down,exact_header_match
kiq470___how_frequently_does_this_occur?,float64,7038,94.63,4,kiq470_how_frequently_does_this_occur,kiq470_how_frequently_does_this_occur,questionnaire,merged_questionnaire.csv,kiq470___how_frequently_does_this_occur?,questionnaire,merged_questionnaire.csv,kiq470___how_frequently_does_this_occur?,exact_header_match
cdq003___during_an_ordinary_pace_on_level_ground,float64,7032,94.55,2,cdq003_during_an_ordinary_pace_on_level_ground,cdq003_during_an_ordinary_pace_on_level_ground,questionnaire,merged_questionnaire.csv,cdq003___during_an_ordinary_pace_on_level_ground,questionnaire,merged_questionnaire.csv,cdq003___during_an_ordinary_pace_on_level_ground,exact_header_match
mcq230a___what_kind_of_cancer_first_mention,float64,7031,94.54,28,mcq230a_what_kind_of_cancer_first_mention,mcq230a_what_kind_of_cancer_first_mention,questionnaire,merged_questionnaire.csv,mcq230a___what_kind_of_cancer_first_mention,questionnaire,merged_questionnaire.csv,mcq230a___what_kind_of_cancer_first_mention,exact_header_match
medication_7,str,6976,93.8,158,medication_7,medication_7,questionnaire,merged_questionnaire.csv,medication_7,questionnaire,merged_questionnaire.csv,medication_7,exact_header_match
mcq500___ever_told_you_had_any_liver_condition,float64,6976,93.8,2,mcq500_ever_told_you_had_any_liver_condition,mcq500_ever_told_you_had_any_liver_condition,questionnaire,merged_questionnaire.csv,mcq500___ever_told_you_had_any_liver_condition,questionnaire,merged_questionnaire.csv,mcq500___ever_told_you_had_any_liver_condition,exact_header_match
did250___past_year_how_many_times_seen_doctor,float64,6858,92.21,19,did250_past_year_how_many_times_seen_doctor,did250_past_year_how_many_times_seen_doctor,questionnaire,merged_questionnaire.csv,did250___past_year_how_many_times_seen_doctor,questionnaire,merged_questionnaire.csv,did250___past_year_how_many_times_seen_doctor,exact_header_match
mcq570___age_when_1st_had_gallbladder_surgery?,float64,6853,92.15,51,mcq570_age_when_1st_had_gallbladder_surgery,mcq570_age_when_1st_had_gallbladder_surgery,questionnaire,merged_questionnaire.csv,mcq570___age_when_1st_had_gallbladder_surgery?,questionnaire,merged_questionnaire.csv,mcq570___age_when_1st_had_gallbladder_surgery?,exact_header_match
diq260u___unit_of_measure_(day/week/month/year),float64,6846,92.05,4,diq260u_unit_of_measure_day_week_month_year,diq260u_unit_of_measure_day_week_month_year,questionnaire,merged_questionnaire.csv,diq260u___unit_of_measure_(day/week/month/year),questionnaire,merged_questionnaire.csv,diq260u___unit_of_measure_(day/week/month/year),exact_header_match
kiq029___pass_kidney_stone_in_past_12_months?,float64,6837,91.93,3,kiq029_pass_kidney_stone_in_past_12_months,kiq029_pass_kidney_stone_in_past_12_months,questionnaire,merged_questionnaire.csv,kiq029___pass_kidney_stone_in_past_12_months?,questionnaire,merged_questionnaire.csv,kiq029___pass_kidney_stone_in_past_12_months?,exact_header_match
mcd093___year_receive_blood_transfusion,float64,6828,91.81,4,mcd093_year_receive_blood_transfusion,mcd093_year_receive_blood_transfusion,questionnaire,merged_questionnaire.csv,mcd093___year_receive_blood_transfusion,questionnaire,merged_questionnaire.csv,mcd093___year_receive_blood_transfusion,exact_header_match
medication_6,str,6812,91.6,174,medication_6,medication_6,questionnaire,merged_questionnaire.csv,medication_6,questionnaire,merged_questionnaire.csv,medication_6,exact_header_match
diq350u___unit_of_measure_(day/week/month/year),float64,6812,91.6,4,diq350u_unit_of_measure_day_week_month_year,diq350u_unit_of_measure_day_week_month_year,questionnaire,merged_questionnaire.csv,diq350u___unit_of_measure_(day/week/month/year),questionnaire,merged_questionnaire.csv,diq350u___unit_of_measure_(day/week/month/year),exact_header_match
mcd180m___age_when_told_you_had_thyroid_problem,float64,6799,91.42,51,mcd180m_age_when_told_you_had_thyroid_problem,mcd180m_age_when_told_you_had_thyroid_problem,questionnaire,merged_questionnaire.csv,mcd180m___age_when_told_you_had_thyroid_problem,questionnaire,merged_questionnaire.csv,mcd180m___age_when_told_you_had_thyroid_problem,exact_header_match
mcq170m___still_have_thyroid_problem,float64,6799,91.42,3,mcq170m_still_have_thyroid_problem,mcq170m_still_have_thyroid_problem,questionnaire,merged_questionnaire.csv,mcq170m___still_have_thyroid_problem,questionnaire,merged_questionnaire.csv,mcq170m___still_have_thyroid_problem,exact_header_match
diq280___what_was_your_last_a1c_level,float64,6795,91.37,69,diq280_what_was_your_last_a1c_level,diq280_what_was_your_last_a1c_level,questionnaire,merged_questionnaire.csv,diq280___what_was_your_last_a1c_level,questionnaire,merged_questionnaire.csv,diq280___what_was_your_last_a1c_level,exact_header_match
diq291___what_does_dr_say_a1c_should_be,float64,6793,91.34,7,diq291_what_does_dr_say_a1c_should_be,diq291_what_does_dr_say_a1c_should_be,questionnaire,merged_questionnaire.csv,diq291___what_does_dr_say_a1c_should_be,questionnaire,merged_questionnaire.csv,diq291___what_does_dr_say_a1c_should_be,exact_header_match
did330___what_does_dr_say_ldl_should_be,float64,6712,90.25,31,did330_what_does_dr_say_ldl_should_be,did330_what_does_dr_say_ldl_should_be,questionnaire,merged_questionnaire.csv,did330___what_does_dr_say_ldl_should_be,questionnaire,merged_questionnaire.csv,did330___what_does_dr_say_ldl_should_be,exact_header_match
mcq040___had_asthma_attack_in_past_year,float64,6703,90.13,3,mcq040_had_asthma_attack_in_past_year,mcq040_had_asthma_attack_in_past_year,questionnaire,merged_questionnaire.csv,mcq040___had_asthma_attack_in_past_year,questionnaire,merged_questionnaire.csv,mcq040___had_asthma_attack_in_past_year,exact_header_match
mcq050___emergency_care_visit_for_asthma/past_yr,float64,6703,90.13,2,mcq050_emergency_care_visit_for_asthma_past_yr,mcq050_emergency_care_visit_for_asthma_past_yr,questionnaire,merged_questionnaire.csv,mcq050___emergency_care_visit_for_asthma/past_yr,questionnaire,merged_questionnaire.csv,mcq050___emergency_care_visit_for_asthma/past_yr,exact_header_match
did341___past_year_times_dr_check_feet_for_sores,float64,6666,89.63,20,did341_past_year_times_dr_check_feet_for_sores,did341_past_year_times_dr_check_feet_for_sores,questionnaire,merged_questionnaire.csv,did341___past_year_times_dr_check_feet_for_sores,questionnaire,merged_questionnaire.csv,did341___past_year_times_dr_check_feet_for_sores,exact_header_match
did350___how_often_do_you_check_your_feet,float64,6666,89.63,14,did350_how_often_do_you_check_your_feet,did350_how_often_do_you_check_your_feet,questionnaire,merged_questionnaire.csv,did350___how_often_do_you_check_your_feet,questionnaire,merged_questionnaire.csv,did350___how_often_do_you_check_your_feet,exact_header_match
did260___how_often_check_blood_for_glucose/sugar,float64,6663,89.59,15,did260_how_often_check_blood_for_glucose_sugar,did260_how_often_check_blood_for_glucose_sugar,questionnaire,merged_questionnaire.csv,did260___how_often_check_blood_for_glucose/sugar,questionnaire,merged_questionnaire.csv,did260___how_often_check_blood_for_glucose/sugar,exact_header_match
did320___what_was_most_recent_ldl_number,float64,6662,89.58,77,did320_what_was_most_recent_ldl_number,did320_what_was_most_recent_ldl_number,questionnaire,merged_questionnaire.csv,did320___what_was_most_recent_ldl_number,questionnaire,merged_questionnaire.csv,did320___what_was_most_recent_ldl_number,exact_header_match
diq300s___what_was_your_recent_sbp,float64,6662,89.58,88,diq300s_what_was_your_recent_sbp,diq300s_what_was_your_recent_sbp,questionnaire,merged_questionnaire.csv,diq300s___what_was_your_recent_sbp,questionnaire,merged_questionnaire.csv,diq300s___what_was_your_recent_sbp,exact_header_match
